Region,Province,District,ContractID,Contractor,Road(KM),Bridge(M),Structure(M),Cost(USD),ContractSignDate,PlanStartDate,ActualStartDate,PlanCompletionDate,ActualCompletionDate,Status,LabourDay,PhysicalProgress,StatusID,ProjectID,ContractTypeID,Project,ContractorID,DistrictID,ProvinceID,SurfaceOption
Kabul,Kapisa,Nijrab,RRD/TF/NERAP/KBL/KAP/025/C1/003,Community,1.6,,,40772.49,29-Jun-13,29-Jun-13,15-Aug-13,30-Sep-13,27-Dec-13,Completed,2506,100,4,17,2,NERAP - MRRD - TF,2,46,5,Gravelling
Kabul,Kapisa,Nijrab,RRD/TF/NERAP/KBL/KAP/025/C1/004,Community,1,,2,41204.02,29-Jun-13,29-Jun-13,15-Aug-13,30-Sep-13,27-Dec-13,Completed,2384,100,4,17,2,NERAP - MRRD - TF,2,46,5,Gravelling
Kabul,Kapisa,Nijrab,RRD/TF/NERAP/KBL/KAP/025/C1/005,Community,1,,,41208.12,14-Jul-13,15-Aug-13,15-Aug-13,3-Nov-13,27-Dec-13,Completed,1752,100,4,17,2,NERAP - MRRD - TF,2,46,5,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/019/C1/001,Community,0.27,,126.6,44719.06,23-Sep-13,20-Sep-13,6-Oct-13,20-Dec-13,20-Dec-13,Completed,2310,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/019/C1/002,Community,0.93,,99.25,44563.47,23-Sep-13,20-Sep-13,6-Oct-13,20-Dec-13,20-Dec-13,Completed,2280,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/019/C1/003,Community,1.19,,42.3,44375.73,23-Sep-13,20-Sep-13,6-Oct-13,20-Dec-13,20-Dec-13,Completed,1920,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/019/C1/004,Community,1.75,,5.4,44145.35,23-Sep-13,20-Sep-13,6-Oct-13,20-Dec-13,20-Dec-13,Completed,1926,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Khaki Jabbar,RRD/TF/NERAP/KBL/KBL/024/C2/001,Ghazi Aminullah Construction Company,11.5,,166,681344,6-Mar-10,15-Apr-10,15-Mar-10,28-Feb-11,1-Dec-11,Completed,23910,100,4,17,6,NERAP - MRRD - TF,1417,37,4,Hot Mix Asphalt
Kabul,Kabul,Bagrami,RRD/TF/NERAP/KBL/KBL/025/C2/001,Naweed Bakhshi Construction Company Unit,11,,4,709434.02,6-Apr-10,10-Apr-10,25-Apr-10,6-Mar-11,6-Aug-11,Completed,28378,100,4,17,6,NERAP - MRRD - TF,205,36,4,Double Bituminous pavement (DBST)
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/026/C2/001,Aryan Vesa Construction Company,2.4,,130.2,277838.53,13-Dec-10,15-Dec-10,13-Dec-10,20-Nov-11,31-Dec-11,Completed,12380,99.99999934,4,17,2,NERAP - MRRD - TF,1427,29,4,Gravelling
Kabul,Kabul,Shakardara,RRD/TF/NERAP/KBL/KBL/027/C2/001,Golden Mind Construction Company Ltd,0.75,,1.6,79844.4,12-Dec-10,15-Dec-10,15-Dec-10,2-Aug-11,1-Nov-11,Completed,468,100.0000001,4,17,6,NERAP - MRRD - TF,1279,33,4,Gravelling
Kabul,Kabul,Paghman,RRD/TF/NERAP/KBL/KBL/028/C2/001,Hashim Ghani Building and Road Construction Company,2.98,,,104993.8,12-Jun-10,19-Jun-10,19-Jun-10,7-Oct-10,27-Nov-10,Completed,6300,100,4,17,2,NERAP - MRRD - TF,1421,34,4,Gravelling
Kabul,Kabul,Shakardara,RRD/TF/NERAP/KBL/KBL/029/C1/001,Community,1.05,,106.15,43447.44,28-Sep-13,20-Sep-13,6-Oct-13,20-Dec-13,20-Dec-13,Completed,2080,100,4,17,2,NERAP - MRRD - TF,2,33,4,Gravelling
Kabul,Kabul,Shakardara,RRD/TF/NERAP/KBL/KBL/031/C2/001,Bahar Construction Company,6.35,,183.4,115062.42,28-Dec-10,4-Jan-11,4-Jan-11,21-Sep-11,1-Dec-11,Completed,3600,100,4,17,2,NERAP - MRRD - TF,67,33,4,Gravelling
Kabul,Kabul,5th,RRD/TF/NERAP/KBL/KBL/036/C1/001,Community,1.5,,,27277.64,24-Mar-11,26-Mar-11,26-Mar-11,24-Jun-11,31-Dec-11,Completed,985,100,4,17,6,NERAP - MRRD - TF,2,419,4,Gravelling
Kabul,Kabul,5th,RRD/TF/NERAP/KBL/KBL/036/C1/002,Community,1.4,,,26733.82,14-Mar-11,26-Mar-11,26-Mar-11,26-Jun-11,31-Dec-11,Completed,830,100,4,17,2,NERAP - MRRD - TF,2,419,4,Gravelling
Kabul,Kabul,5th,RRD/TF/NERAP/KBL/KBL/036/C1/003,Community,0.1,,15,21372.98,14-Mar-11,26-Mar-11,26-Mar-11,24-Jun-11,31-Dec-11,Completed,1692,100,4,17,2,NERAP - MRRD - TF,2,419,4,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/060/C1/001,Community,2.8,,2.4,42840.11,9-Mar-13,4-May-13,5-May-13,3-Aug-13,17-Sep-13,Completed,590,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Mir Bacha Kot,RRD/TF/NERAP/KBL/KBL/060/C1/002,Community,2.8,,1.8,42679.22,9-Mar-13,9-Mar-13,9-Mar-13,3-Aug-13,17-Sep-13,Completed,2040,100,4,17,2,NERAP - MRRD - TF,2,29,4,Gravelling
Kabul,Kabul,Paghman,RRD/TF/NERAP/KBL/KBL/061/C1/001,Community,3,,101.8,43325.11,13-Mar-13,4-May-13,4-May-13,3-Aug-13,15-Sep-13,Completed,1195,100,4,17,2,NERAP - MRRD - TF,2,34,4,Gravelling
Kabul,Panjsheer,Dara,RRD/TF/NERAP/KBL/PJR/008/C2/001,Bahar Construction Company,5,,759.4,126469.44,7-Jul-10,13-Jul-10,13-Jul-10,30-Dec-10,1-Dec-11,Completed,3004,100,4,17,6,NERAP - MRRD - TF,67,79,9,Gravelling
